k,cluster_id,size,top_terms,top_sources,example_messages
10,0,3586,path_token directory; directory; source_file path_token; source_file; path_token; path_token path_token; path_token cache; cache; cache path_token; dotnet path_token,FILE:3586,NTFS:\Windows\WinSxS\amd64_microsoft-windows-wordpad_31bf3856ad364e35_10.0.22621.317_none_8ff7098935e85ce4 Type: directory || NTFS:\Windows\WinSxS\x86_netfx4-aspnet_perf_ini_b03f5f7f11d50a3a_4.0.15912.0_none_6a108b5dbec1d188 Type: directory || NTFS:\Windows\WinSxS\amd64_microsoft-windows-s..card-gids-simulator_31bf3856ad364e35_10.0.22621.2506_none_bd439ad0e820e1d9\f Type: directory
10,1,8248,num_token; update; num_token num_token; update source; source update; update reason; num_token parent; num_token update; parent num_token; reason,FILE:8248,System.Reflection.Context.nuspec File reference: 238596-1 Parent file reference: 222787-1 Update source: Update reason: USN_REASON_FILE_CREATE || ngen.log File reference: 47475-1 Parent file reference: 3532-1 Update source: Update reason: USN_REASON_DATA_EXTEND USN_REASON_CLOSE || windows.devices.humaninterfacedevice.h File reference: 209404-1 Parent file reference: 208957-1 Update source: Update reason: USN_REASON_DATA_OVERWRITE USN_REAS
10,2,5086,path_token path_token; path_token; source_file path_token; studio path_token; path_token visual; studio; visual studio; visual; source_file; directory,FILE:5031; REG:47; EVT:4; LNK:3; AMCACHE:1,NTFS:\Program Files\Microsoft Visual Studio\2022\Community\Licenses\SQL Server\Microsoft SQL Server Data Tools.rtf Type: file || NTFS:\Program Files\Microsoft Visual Studio\2022\Community\TS\3082\Snippets\General\setter.snippet Type: file || NTFS:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\VC\vcpackages\x86\1033\vcpkgsrvui.dll Type: file
10,3,6197,num_token; num_token num_token; reg_dword_le; reg_dword_le num_token; path_token; reg_binary; source_reg; reg_binary num_token; reg_sz; hex_token,REG:4063; EVT:1366; FILE:667; WEBHIST:40; OLECF:39,Original URL: https://r.bing.com/rp/6zg86aHGTXWfySoaJQRqV18s0QQ.br.css || NTFS:\Program Files (x86)\dotnet\packs\Microsoft.WindowsDesktop.App.Ref\8.0.0\ref\net8.0\System.Diagnostics.EventLog.dll Type: file || [\DerivedData\Components\amd64_microsoft-windows-a..ev-wow64-deployment_31bf3856ad364e35_10.0.22621.2506_none_5e093d4add647bbe] CF: [REG_DWORD_LE] 12 S256H: [RE
10,4,11807,source_file path_token; source_file; path_token; defender path_token; path_token defender; defender; cache path_token; path_token cache; iis express; path_token iis,FILE:11807,NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\Core\StartMenu\Assets\FileIcons\32\genericfile.svg Type: f || NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\f\Core\FileExplorerExtensions\Assets\images\contrast-stand || NTFS:\Windows\System32\wbem\wbemsvc.dll Type: file
10,5,6438,source_reg hkey_local_machine; hkey_local_machine; hkey_local_machine path_token; source_reg; reg_sz; path_token reg_sz; path_token; hex_token; num_token; reg_sz num_token,REG:6438,[HKEY_LOCAL_MACHINE\Software\Classes\Interface\{7F254BEB-471F-5000-94CE-102CC333055F}\ProxyStubClsid32] (default): [REG_SZ] {95E15D0A-66E6-93D9-C53C-76E6219D334 || [HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{884e2024-217d-11da-b2a4-000e7bbb2b09}\ProgID] (default): [REG_SZ] X509Enrollment.CX509AttributeExtensions.1 || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-n..tprov-dll.resources_31bf3856ad364e35_en-us_14327fa0f
10,6,2629,num_token; num_token componentfamilies; componentfamilies; path_token winbuild; componentfamilies path_token; winbuild num_token; winbuild; deriveddata path_token; source_reg deriveddata; deriveddata,REG:2629,[\DerivedData\VersionedIndex\10.0.22621.378 (WinBuild.160101.0800)\ComponentFamilies\amd64_system.activities.durableinstancing_31bf3856ad364e35_none_3731dba7e5f || [\DerivedData\VersionedIndex\10.0.22621.378 (WinBuild.160101.0800)\ComponentFamilies\amd64_microsoft-windows-n..meworkapi.resources_31bf3856ad364e35_en-us_b6bfb || [\DerivedData\VersionedIndex\10.0.22621.2715 (WinBuild.160101.0800)\ComponentFamilies\amd64_dual_nete1e3e.inf_31bf3856ad364e35_none_8883b7d2648c44b8] SomeUnpars
10,7,747,dll; source_pe; source_pe pe; pe; dynamic link; library dll; pe dynamic; link library; link; library,PE:747,PE Type: Dynamic Link Library (DLL) Import hash: 70f4b905376a5f535e79c937936087a6 Export DLL name: dnsrslvr.dll || PE Type: Dynamic Link Library (DLL) Import hash: 3c0e090bb28a0a2d50b2aa19c544e4d7 Export DLL name: mscordac.dll || PE Type: Dynamic Link Library (DLL) Import hash: 0424a6b79cb5d84374d6589ff49a9984 Export DLL name: AADAUTHHELPER.DLL
10,8,3761,sdks path_token; path_token sdks; sdks; path_token; source_file path_token; source_file; path_token directory; directory; path_token bootstrapper; bootstrapper path_token,FILE:3712; REG:49,NTFS:\Program Files (x86)\Microsoft SDKs\ClickOnce Bootstrapper\Packages\SqlExpress2008R2\en\eula.rtf Type: file || NTFS:\Program Files (x86)\Microsoft SDKs\NuGetPackages\System.Net.Http.Rtc\4.0.1\runtimes Type: directory || NTFS:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\system.runtime.interopservices\4.1.0\lib\portable-net45+win8+wpa81 Type: directory
10,9,1501,path_token kits; kits path_token; kits; path_token; source_file path_token; source_file; hex_token reg_sz; path_token hex_token; reg_sz path_token; sdks path_token,FILE:1245; REG:256,[HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\D2442D3EA6B1126D55C1E93B080DEB83] 8355AD577312A18ED1DCB2182 || NTFS:\Program Files (x86)\Windows Kits\10\Include\10.0.22621.0\um\asysta.idl Type: file || NTFS:\Program Files (x86)\Windows Kits\10\References\10.0.22621.0\Windows.Security.Isolation.Isolatedwindowsenvironmentcontract\4.0.0.0\zh-hant Type: directory
20,0,3504,source_reg hkey_local_machine; hkey_local_machine; hkey_local_machine path_token; source_reg; path_token reg_sz; reg_sz; path_token; hex_token; reg_sz hex_token; num_token,REG:3504,[HKEY_LOCAL_MACHINE\Software\Classes\Interface\{7F254BEB-471F-5000-94CE-102CC333055F}\ProxyStubClsid32] (default): [REG_SZ] {95E15D0A-66E6-93D9-C53C-76E6219D334 || [HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{884e2024-217d-11da-b2a4-000e7bbb2b09}\ProgID] (default): [REG_SZ] X509Enrollment.CX509AttributeExtensions.1 || [HKEY_LOCAL_MACHINE\Software\Classes\WOW6432Node\CLSID\{840f3a85-dde5-4503-9529-4cfa8e5ca201}] (default): [REG_SZ] CLSID_PalMediaManager
20,1,11806,source_file path_token; source_file; path_token; defender path_token; path_token defender; defender; cache path_token; path_token cache; iis express; path_token iis,FILE:11806,NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\Core\StartMenu\Assets\FileIcons\32\genericfile.svg Type: f || NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\f\Core\FileExplorerExtensions\Assets\images\contrast-stand || NTFS:\Windows\System32\wbem\wbemsvc.dll Type: file
20,2,4772,num_token; update; num_token num_token; source update; num_token parent; num_token update; update reason; update source; parent num_token; reason,FILE:4772,System.Reflection.Context.nuspec File reference: 238596-1 Parent file reference: 222787-1 Update source: Update reason: USN_REASON_FILE_CREATE || ngen.log File reference: 47475-1 Parent file reference: 3532-1 Update source: Update reason: USN_REASON_DATA_EXTEND USN_REASON_CLOSE || ExtensionActivityComp File reference: 192425-2 Parent file reference: 196688-1 Update source: Update reason: USN_REASON_FILE_DELETE USN_REASON_CLOSE
20,3,3565,path_token directory; directory; source_file path_token; source_file; path_token; path_token path_token; path_token cache; cache; cache path_token; path_token defender,FILE:3565,NTFS:\Windows\WinSxS\amd64_microsoft-windows-wordpad_31bf3856ad364e35_10.0.22621.317_none_8ff7098935e85ce4 Type: directory || NTFS:\Windows\WinSxS\x86_netfx4-aspnet_perf_ini_b03f5f7f11d50a3a_4.0.15912.0_none_6a108b5dbec1d188 Type: directory || NTFS:\Windows\WinSxS\amd64_microsoft-windows-s..card-gids-simulator_31bf3856ad364e35_10.0.22621.2506_none_bd439ad0e820e1d9\f Type: directory
20,4,747,dll; source_pe; source_pe pe; pe; dynamic link; library dll; pe dynamic; link library; link; library,PE:747,PE Type: Dynamic Link Library (DLL) Import hash: 70f4b905376a5f535e79c937936087a6 Export DLL name: dnsrslvr.dll || PE Type: Dynamic Link Library (DLL) Import hash: 3c0e090bb28a0a2d50b2aa19c544e4d7 Export DLL name: mscordac.dll || PE Type: Dynamic Link Library (DLL) Import hash: 0424a6b79cb5d84374d6589ff49a9984 Export DLL name: AADAUTHHELPER.DLL
