k,cluster_id,source,count,share_cluster
10,0,FILE,3586,1.0
10,1,FILE,8248,1.0
10,2,AMCACHE,1,0.000197
10,2,EVT,4,0.000786
10,2,FILE,5031,0.989186
10,2,LNK,3,0.00059
10,2,REG,47,0.009241
10,3,AMCACHE,8,0.001291
10,3,EVT,1366,0.220429
10,3,FILE,667,0.107633
10,3,LNK,1,0.000161
10,3,LOG,13,0.002098
10,3,OLECF,39,0.006293
10,3,REG,4063,0.65564
10,3,WEBHIST,40,0.006455
10,4,FILE,11807,1.0
10,5,REG,6438,1.0
10,6,REG,2629,1.0
10,7,PE,747,1.0
10,8,FILE,3712,0.986972
10,8,REG,49,0.013028
10,9,FILE,1245,0.829447
10,9,REG,256,0.170553
20,0,REG,3504,1.0
20,1,FILE,11806,1.0
20,2,FILE,4772,1.0
20,3,FILE,3565,1.0
20,4,PE,747,1.0
20,5,REG,2626,1.0
20,6,REG,643,1.0
20,7,FILE,1461,1.0
20,8,REG,1101,1.0
20,9,EVT,1356,0.981897
20,9,FILE,10,0.007241
20,9,WEBHIST,15,0.010862
20,10,EVT,4,0.002111
20,10,FILE,1888,0.996306
20,10,LNK,3,0.001583
20,11,AMCACHE,1,0.000315
20,11,FILE,3126,0.984567
20,11,REG,48,0.015118
20,12,REG,1503,1.0
20,13,FILE,1246,1.0
20,14,FILE,419,0.26739
20,14,LNK,1,0.000638
20,14,LOG,5,0.003191
20,14,OLECF,12,0.007658
20,14,REG,1116,0.712189
20,14,WEBHIST,14,0.008934
20,15,REG,1694,1.0
20,16,FILE,2251,1.0
20,17,REG,599,1.0
20,18,AMCACHE,8,0.008097
20,18,EVT,10,0.010121
20,18,FILE,276,0.279352
20,18,LOG,8,0.008097
20,18,OLECF,27,0.027328
20,18,REG,648,0.65587
20,18,WEBHIST,11,0.011134
20,19,FILE,3476,1.0
50,0,FILE,2243,1.0
50,1,FILE,11796,1.0
50,2,FILE,2132,1.0
50,3,REG,1385,1.0
50,4,EVT,4,0.00211
50,4,FILE,1888,0.995781
50,4,LNK,3,0.001582
50,4,LOG,1,0.000527
50,5,FILE,3564,1.0
50,6,REG,1209,1.0
50,7,REG,373,1.0
50,8,AMCACHE,1,0.000356
50,8,FILE,2763,0.983274
50,8,REG,46,0.01637
50,9,PE,747,1.0
50,10,REG,207,1.0
50,11,REG,256,1.0
50,12,LOG,2,0.003012
50,12,REG,662,0.996988
50,13,REG,1421,1.0
50,14,EVT,376,0.974093
50,14,WEBHIST,10,0.025907
50,15,REG,605,1.0
50,16,AMCACHE,6,0.011091
50,16,EVT,7,0.012939
50,16,FILE,23,0.042514
50,16,OLECF,26,0.048059
50,16,REG,468,0.865065
50,16,WEBHIST,11,0.020333
50,17,FILE,2127,1.0
50,18,FILE,1461,1.0
50,19,FILE,1245,1.0
50,20,REG,594,1.0
50,21,REG,360,1.0
50,22,FILE,1506,1.0
50,23,FILE,251,0.769939
50,23,REG,75,0.230061
50,24,REG,637,1.0
50,25,REG,250,1.0
50,26,REG,101,1.0
50,27,REG,565,1.0
50,28,REG,197,1.0
50,29,REG,308,1.0
50,30,FILE,300,0.980392
50,30,REG,6,0.019608
50,31,FILE,392,0.997455
50,31,REG,1,0.002545
50,32,FILE,135,0.838509
50,32,REG,26,0.161491
50,33,AMCACHE,2,0.015152
50,33,FILE,103,0.780303
50,33,REG,27,0.204545
50,34,FILE,135,0.725806
50,34,REG,51,0.274194
50,35,FILE,1,0.002865
50,35,LOG,1,0.002865
50,35,REG,347,0.994269
50,36,FILE,127,0.78882
50,36,REG,34,0.21118
50,37,LNK,1,0.004016
50,37,LOG,8,0.032129
50,37,REG,240,0.963855
50,38,FILE,214,1.0
50,39,EVT,225,1.0
50,40,REG,824,1.0
50,41,EVT,264,0.919861
50,41,FILE,11,0.038328
50,41,LOG,1,0.003484
50,41,OLECF,1,0.003484
50,41,REG,5,0.017422
50,41,WEBHIST,5,0.017422
50,42,EVT,494,0.95
50,42,OLECF,12,0.023077
50,42,WEBHIST,14,0.026923
50,43,REG,317,1.0
50,44,FILE,705,1.0
50,45,FILE,1174,1.0
50,46,REG,1163,1.0
50,47,REG,333,1.0
50,48,REG,197,1.0
50,49,REG,192,1.0
