representation,clustering_method,cluster_id,is_noise,size,top_tokens,top_sources,example_messages
tfidf,agglomerative,0,False,403,num_token; update; source_file; tmp; parent; source; reason; usn_reason_file_create; usn_reason_data_extend; hex_token; usn_reason_close; usn_reason_data_overwrite,FILE:401; LOG:2,install.tmp File reference: 244967-53 Parent file reference: 244418-2 Update source: Update reason: USN_REASON_DATA_OVERWRITE USN_REASON_DATA_EXTEND USN_REASON_ || ~DF1CE6A7CA11654A67.TMP File reference: 210997-6 Parent file reference: 5560-1 Update source: Update reason: USN_REASON_FILE_CREATE || install.tmp File reference: 244967-12 Parent file reference: 244418-2 Update source: Update reason: USN_REASON_DATA_OVERWRITE USN_REASON_DATA_EXTEND USN_REASON_
tfidf,agglomerative,1,False,201,path_token; source_reg; hkey_current_user; reg_sz; num_token; reg_dword_le; ms; resource; settings; icon; txyewy; wekyb,REG:201,[HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm9\.Current] (default): [REG_EXPAND_SZ] %SystemRoot%\media\Alarm09.wav || [HKEY_CURRENT_USER\Software\Classes\WOW6432Node\Interface\{390AF5A7-1390-4255-9BC9-935BFCFA5D57}\TypeLib] (default): [REG_SZ] {BAE13F6C-0E2A-4DEB-AA46-B8F553193 || [HKEY_CURRENT_USER\Software\Classes\Extensions\ContractId\Windows.BackgroundTasks\PackageId\MicrosoftWindows.Client.CBS_1000.22677.1000.0_x64__cw5n1h2txyewy\Act
tfidf,agglomerative,2,False,335,num_token; unknown; scope; source_reg; path_token; version; wcm; language; processorarchitecture; publickeytoken; versionscope; xsd,REG:335,[HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\PRINTENUM\PrintQueues\Properties\{a8b865dd-2e3d-4094-ad97-e593a70c75d6}\0004] (default): [UNKNOWN] (36 bytes) || [HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\PCI\VEN_15AD&DEV_07A0&SUBSYS_07A015AD&REV_01\3&61aaa01&0&AF\Properties\{a8b865dd-2e3d-4094-ad97-e593a70c75d6}\0008 || [HKEY_LOCAL_MACHINE\System\ControlSet001\Control\NetworkSetup2\Interfaces\{4B4F8528-A4D6-4022-8AD8-02BC512C0679}\Properties\{a111f1f4-5923-47c0-9a68-d0bafb57790
tfidf,agglomerative,3,False,321,num_token; update; xml; source_file; parent; source; reason; usn_reason_data_extend; usn_reason_data_overwrite; usn_reason_file_create; usn_reason_basic_info_change; usn_reason_close,FILE:321,System.ComponentModel.xml File reference: 200999-1 Parent file reference: 198114-3 Update source: Update reason: USN_REASON_DATA_OVERWRITE USN_REASON_DATA_EXTEN || Windows.Media.AppBroadcasting.AppBroadcastingContract.xml File reference: 211834-1 Parent file reference: 211833-1 Update source: Update reason: USN_REASON_DATA || Windows.ApplicationModel.StartupTaskContract.xml File reference: 210459-1 Parent file reference: 210458-1 Update source: Update reason: USN_REASON_DATA_OVERWRIT
tfidf,agglomerative,4,False,170,path_token; power; num_token; reg_dword_le; source_reg; reg_sz; applypasses; atomic; atomicroot; private; display; hkey_local_machine,REG:170,[\Power\Policy\Settings\Processor\SchemePersonality\Profile\Validation\33cc3a0d-45ee-43ca-86c4-695bfc9a313b] Description: [REG_SZ] (empty) Display: [REG_SZ] Uti || [\Power\Policy\Definitions\Processor\HeteroDecreaseThreshold1\List] Atomic: [REG_DWORD_LE] 1 AtomicRoot: [REG_SZ] /Power/Policy Key: [REG_SZ] Id Name: [REG_SZ]  || [\Power\EnergyEstimationEngine\Wifi\Visibility] DisplayDescription: [REG_SZ] Specify the parameters needed for wifi power model. Private: [REG_DWORD_LE] 1
tfidf,agglomerative,5,False,152,reg_sz; path_token; configuration; source_reg; hkey_local_machine; description; manufacturer; driverdatabase; nt; pci; no_drv; cht,REG:149; FILE:3,[HKEY_LOCAL_MACHINE\System\DriverDatabase\DriverPackages\megasas35i.inf_amd64_3c9ecc1d5a3cfded\Descriptors\PCI\VEN_1000&DEV_0015&SUBSYS_1F3C1028] Configuration: || [HKEY_LOCAL_MACHINE\System\DriverDatabase\DriverPackages\cht4vx64.inf_amd64_b03448ba0b72ec47\Descriptors\PCI\VEN_1425&DEV_5818&SUBSYS_00001425] Configuration: [ || [HKEY_LOCAL_MACHINE\System\DriverDatabase\DriverPackages\mlx4_bus.inf_amd64_4c426f3bebc68844\Descriptors\PCI\VEN_15B3&DEV_673c] Configuration: [REG_SZ] MLX4BUS.
tfidf,agglomerative,6,False,410,num_token; update; source; source_file; parent; reason; usn_reason_data_overwrite; usn_reason_close; usn_reason_rename_new_name; usn_reason_basic_info_change; usn_reason_data_truncation; usn_reason_rename_old_name,FILE:410,23CQFMRC File reference: 1314-7 Parent file reference: 509-4 Update source: Update reason: USN_REASON_RENAME_OLD_NAME USN_REASON_BASIC_INFO_CHANGE || Microsoft-Windows-AppLocker%4EXE and DLL.evtx File reference: 129693-1 Parent file reference: 4877-1 Update source: Update reason: USN_REASON_DATA_OVERWRITE USN || Microsoft-Windows-WindowsUpdateClient%4Operational.evtx File reference: 131782-1 Parent file reference: 4877-1 Update source: Update reason: USN_REASON_DATA_OVE
tfidf,agglomerative,7,False,205,num_token; path_token; hex_token; reg_dword_le; amd; package; reg_sz; source_reg; based; hkey_local_machine; servicing; en,REG:204; FILE:1,[HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Component Based Servicing\PackageDetect\Microsoft-Windows-DirectoryServices-ADAM-Snapins-Group-Pac || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Component Based Servicing\Packages\Microsoft-Windows-Wallpaper-Content-Extended-Package~31bf3856ad || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Component Based Servicing\PackageDetect\Microsoft-Windows-DeviceGuard-GPEXT-Package~31bf3856ad364e
tfidf,agglomerative,8,False,161,path_token; dotnet; source_file; source_reg; hkey_local_machine; hex_token; reg_sz; directory,FILE:127; REG:34,NTFS:\Program Files (x86)\dotnet\packs\Microsoft.WindowsDesktop.App.Ref\8.0.0\ref\net8.0\System.Diagnostics.EventLog.dll Type: file || NTFS:\Program Files (x86)\dotnet\shared\Microsoft.NETCore.App\8.0.0\System.Text.Encoding.dll Type: file || NTFS:\Program Files (x86)\dotnet\packs\Microsoft.AspNetCore.App.Ref\8.0.0\analyzers\dotnet\cs\it Type: directory
tfidf,agglomerative,9,False,192,num_token; update; xml; source_file; parent; source; reason; usn_reason_file_create; usn_reason_rename_new_name; usn_reason_security_change; usn_reason_close; cab,FILE:192,DesktopTargetCompDB_professional_th-th.xml.cab File reference: 186077-2 Parent file reference: 199774-2 Update source: Update reason: USN_REASON_RENAME_NEW_NAME || UnityEngine.rd.xml File reference: 232481-1 Parent file reference: 223636-1 Update source: Update reason: USN_REASON_FILE_CREATE || Windows.Gaming.Preview.GamesEnumerationContract.xml File reference: 205357-1 Parent file reference: 205356-1 Update source: Update reason: USN_REASON_FILE_CREAT
