representation,sample_size,seed,embedding_time_s,peak_memory_mb,device,embedding_cache_key,embedding_cache_path,embedding_cache_hit,embedding_load_time_s,embedding_dimensions,requested_pca_components,pca_applied,effective_dimensions,pca_explained_variance_ratio,clustering_method,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all,tfidf_features,tfidf_max_features,tfidf_min_df,tfidf_max_df,tfidf_svd_applied,tfidf_svd_components
tfidf,50000,42,3.091,110.142,cpu,tfidf_21e201679651b82c,reports\week2\cache\tfidf_21e201679651b82c.npz,False,,50,50,False,50,,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",63.466,,100,0,0.0,0.7913590669631958,5061.968047728919,0.8940515065466706,,,,,,,5000.0,5000.0,5.0,0.95,True,50.0
tfidf,50000,42,3.091,110.142,cpu,tfidf_21e201679651b82c,reports\week2\cache\tfidf_21e201679651b82c.npz,False,,50,50,False,50,,kmeans,"{""n_clusters"": 100}",4.447,,100,0,0.0,0.7897588014602661,5178.904548870089,0.8978845247462622,,,221733.8125,,,,5000.0,5000.0,5.0,0.95,True,50.0
tfidf,50000,42,3.091,110.142,cpu,tfidf_21e201679651b82c,reports\week2\cache\tfidf_21e201679651b82c.npz,False,,50,50,False,50,,dbscan,"{""eps"": 0.959152, ""metric"": ""euclidean"", ""min_samples"": 10}",8.392,,315,4949,0.09898,0.9237567186355592,50337.25704680483,0.232494313416909,,,,0.7657709121704102,728.0434456229156,1.0689654042201675,5000.0,5000.0,5.0,0.95,True,50.0
tfidf,50000,42,3.091,110.142,cpu,tfidf_21e201679651b82c,reports\week2\cache\tfidf_21e201679651b82c.npz,False,,50,50,False,50,,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",75.359,,367,5336,0.10672,0.9321172833442688,18197.630034795733,0.3970752250110873,,,,0.7582345604896545,665.5650236413989,1.0482939992628564,5000.0,5000.0,5.0,0.95,True,50.0
tfidf,50000,42,3.091,110.142,cpu,tfidf_21e201679651b82c,reports\week2\cache\tfidf_21e201679651b82c.npz,False,,50,50,False,50,,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",5.741,,100,0,0.0,0.7265139818191528,2466.5392517618484,1.456459421208995,-18011069.284011345,-18100140.224905606,,,,,5000.0,5000.0,5.0,0.95,True,50.0
word2vec,50000,42,0.054,38.198,cpu,word2vec_da1df13ea1ae6270,reports\week2\cache\word2vec_da1df13ea1ae6270.npz,True,0.054,100,50,True,50,0.9960249066352844,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",68.288,,100,0,0.0,0.6328935623168945,1235.5214735536763,1.4880555539387157,,,,,,,,,,,,
word2vec,50000,42,0.055,38.198,cpu,word2vec_da1df13ea1ae6270,reports\week2\cache\word2vec_da1df13ea1ae6270.npz,True,0.055,100,50,True,50,0.9960249066352844,kmeans,"{""n_clusters"": 100}",4.519,,100,0,0.0,0.6155778169631958,1308.1462807637304,1.2841619330114906,,,695347.5,,,,,,,,,
word2vec,50000,42,0.055,38.198,cpu,word2vec_da1df13ea1ae6270,reports\week2\cache\word2vec_da1df13ea1ae6270.npz,True,0.055,100,50,True,50,0.9960249066352844,dbscan,"{""eps"": 1.854439, ""metric"": ""euclidean"", ""min_samples"": 5}",6.787,,682,7593,0.15186,0.9130724668502808,10603.726097117396,0.3679274318040281,,,,0.68630051612854,134.11885804783395,1.2717729687601786,,,,,,
word2vec,50000,42,0.055,38.198,cpu,word2vec_da1df13ea1ae6270,reports\week2\cache\word2vec_da1df13ea1ae6270.npz,True,0.055,100,50,True,50,0.9960249066352844,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",60.418,,131,11693,0.23386,0.9169794917106628,4811.694293005985,2.42482772232499,,,,0.6009461879730225,330.9227384389572,2.9878766398979475,,,,,,
word2vec,50000,42,0.055,38.198,cpu,word2vec_da1df13ea1ae6270,reports\week2\cache\word2vec_da1df13ea1ae6270.npz,True,0.055,100,50,True,50,0.9960249066352844,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",6.522,,100,0,0.0,0.6426795721054077,949.631209787783,2.282203879713073,-14768821.380294155,-14857892.321188414,,,,,,,,,,
doc2vec,50000,42,0.097,38.198,cpu,doc2vec_d22244dd639d469e,reports\week2\cache\doc2vec_d22244dd639d469e.npz,True,0.096,100,50,True,50,0.984565258026123,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 75}",81.638,,75,0,0.0,0.0017301815096288,303.24229011457226,2.3776368447002487,,,,,,,,,,,,
doc2vec,50000,42,63.169,108.857,cpu,doc2vec_d22244dd639d469e,reports\week2\cache\doc2vec_d22244dd639d469e.npz,False,,100,50,True,50,0.984565258026123,kmeans,"{""n_clusters"": 2}",0.383,,2,0,0.0,0.1149683073163032,708.9502811518995,6.945008406631476,,,2465048.25,,,,,,,,,
doc2vec,50000,42,0.109,38.159,cpu,doc2vec_d22244dd639d469e,reports\week2\cache\doc2vec_d22244dd639d469e.npz,True,0.108,100,50,True,50,0.984565258026123,dbscan,"{""eps"": 9.533955, ""metric"": ""euclidean"", ""min_samples"": 10}",386.407,,2,1637,0.03274,0.5350874066352844,49.55248094580283,0.7636678011925759,,,,0.4258873164653778,155.98931362782758,6.290817457535588,,,,,,
doc2vec,50000,42,0.109,38.159,cpu,doc2vec_d22244dd639d469e,reports\week2\cache\doc2vec_d22244dd639d469e.npz,True,0.108,100,50,True,50,0.984565258026123,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",136.425,,2,13296,0.26592,0.4028684198856354,205.67813589261127,0.986237122416781,,,,0.2129982411861419,146.962923309874,9.726484138683483,,,,,,
doc2vec,50000,42,63.169,108.857,cpu,doc2vec_d22244dd639d469e,reports\week2\cache\doc2vec_d22244dd639d469e.npz,False,,100,50,True,50,0.984565258026123,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",9.924,,100,0,0.0,-0.0648043602705001,219.0490695282839,4.133121913521687,4890654.521755908,4801583.580861649,,,,,,,,,,
sbert,50000,42,0.247,146.533,cuda,sbert_971eb128b1741a38,reports\week2\cache\sbert_971eb128b1741a38.npz,True,0.247,384,50,True,50,0.898937463760376,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",67.155,,100,0,0.0,0.5919038653373718,744.7867268428882,1.9001306606926025,,,,,,,,,,,,
sbert,50000,42,49.073,296.858,cuda,sbert_971eb128b1741a38,reports\week2\cache\sbert_971eb128b1741a38.npz,False,,384,50,True,50,0.898937463760376,kmeans,"{""n_clusters"": 100}",6.193,,100,0,0.0,0.5827099084854126,809.699492011391,1.7674707058272272,,,959165.5,,,,,,,,,
sbert,50000,42,49.073,296.858,cuda,sbert_971eb128b1741a38,reports\week2\cache\sbert_971eb128b1741a38.npz,False,,384,50,True,50,0.898937463760376,dbscan,"{""eps"": 9.138589, ""metric"": ""euclidean"", ""min_samples"": 10}",191.109,,20,747,0.01494,0.3692389130592346,185.70563268221235,0.7088887821634436,,,,0.3813406229019165,179.97542649046673,1.5796274354076414,,,,,,
sbert,50000,42,49.073,296.858,cuda,sbert_971eb128b1741a38,reports\week2\cache\sbert_971eb128b1741a38.npz,False,,384,50,True,50,0.898937463760376,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 30, ""min_samples"": null}",71.5,,196,13857,0.27714,0.91632342338562,2716.324640038527,3.740596713163879,,,,0.5559483170509338,171.52928084684342,4.270410302092108,,,,,,
sbert,50000,42,49.073,296.858,cuda,sbert_971eb128b1741a38,reports\week2\cache\sbert_971eb128b1741a38.npz,False,,384,50,True,50,0.898937463760376,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",8.329,,100,0,0.0,0.5909072160720825,662.9661191734363,2.208945442035424,-13307511.917185633,-13396582.858079892,,,,,,,,,,
