representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 100}",63.466,,100,0,0.0,0.7913590669631958,5061.968047728919,0.8940515065466706,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 10}",82.72,,10,0,0.0,0.1325543671846389,1441.0208107540743,2.4262504685976447,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 15}",83.152,,15,0,0.0,0.2768828570842743,1534.9787125116866,2.0536371444407826,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 20}",82.969,,20,0,0.0,0.3538386225700378,1685.7107423509071,1.85686204195302,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 2}",84.324,,2,0,0.0,0.1861332505941391,1695.8998451414875,4.626586405765013,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 30}",82.47,,30,0,0.0,0.48056361079216,2116.519377616759,1.492699569247205,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 3}",84.158,,3,0,0.0,0.1857470721006393,1545.0870779322554,4.748080525358163,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 40}",83.24,,40,0,0.0,0.6159034967422485,2864.732719381592,1.2945142485884855,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 4}",83.221,,4,0,0.0,0.1944115906953811,1487.603581672871,4.192847408793482,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 50}",82.921,,50,0,0.0,0.6867422461509705,4050.0004150841023,1.1066840454298097,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 5}",82.703,,5,0,0.0,0.2024987488985061,1462.6459262817284,3.6908600318029534,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 75}",82.03,,75,0,0.0,0.7665926814079285,4878.407535271618,0.9172867658455376,,,,,,
tfidf,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 8}",85.338,,8,0,0.0,0.1174594610929489,1434.5124393998242,2.8522831981784167,,,,,,
tfidf,kmeans,42,"{""n_clusters"": 100}",4.447,,100,0,0.0,0.7897588014602661,5178.904548870089,0.8978845247462622,,,221733.8125,,,
tfidf,kmeans,42,"{""n_clusters"": 10}",0.689,,10,0,0.0,0.0734292939305305,1294.4265384203443,1.974475223269676,,,2027491.5,,,
tfidf,kmeans,42,"{""n_clusters"": 15}",0.833,,15,0,0.0,0.1557119637727737,1493.2220430636655,1.6080001788391918,,,1762761.0,,,
tfidf,kmeans,42,"{""n_clusters"": 20}",1.076,,20,0,0.0,0.2850284278392792,1631.3003631344343,1.682257940365026,,,1543073.5,,,
tfidf,kmeans,42,"{""n_clusters"": 2}",0.229,,2,0,0.0,0.3164188861846924,1386.4796850313123,1.7517612836302356,,,2432516.5,,,
tfidf,kmeans,42,"{""n_clusters"": 30}",1.574,,30,0,0.0,0.5154052972793579,2185.7874980695988,1.4128349504978717,,,1102033.75,,,
tfidf,kmeans,42,"{""n_clusters"": 3}",0.233,,3,0,0.0,0.312962532043457,1303.1286008136235,3.0024033614262464,,,2376137.25,,,
tfidf,kmeans,42,"{""n_clusters"": 40}",1.847,,40,0,0.0,0.6049181818962097,3126.401187445424,1.000020933503467,,,726629.375,,,
tfidf,kmeans,42,"{""n_clusters"": 4}",0.286,,4,0,0.0,-0.0145455580204725,1304.650117430161,3.084584951057002,,,2318495.25,,,
tfidf,kmeans,42,"{""n_clusters"": 50}",2.112,,50,0,0.0,0.6925815343856812,4240.44388079819,0.8814172539290464,,,484516.34375,,,
tfidf,kmeans,42,"{""n_clusters"": 5}",0.378,,5,0,0.0,-0.0579159930348396,1224.8072528111784,1.6361969838319674,,,2276897.5,,,
tfidf,kmeans,42,"{""n_clusters"": 75}",3.465,,75,0,0.0,0.7643841505050659,5143.440073106559,0.8424516985245816,,,289899.5625,,,
tfidf,kmeans,42,"{""n_clusters"": 8}",0.489,,8,0,0.0,0.0701059699058532,1255.6375129287292,1.884848355745488,,,2126164.75,,,
