representation,clustering_method,cluster_id,size,is_noise,forensic_cluster_score,top_tokens,top_sources,example_messages
doc2vec,agglomerative,24,4736,False,5,path_token; source_file; directory; sdks; studio; visual; num_token; version; tools; productarch; bootstrapper; neutral,FILE:4727; REG:8; PE:1,NTFS:\Program Files (x86)\Microsoft SDKs\NuGetPackages\System.Net.Http.Rtc\4.0.1\runtimes Type: directory || NTFS:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\system.runtime.interopservices\4.1.0\lib\portable-net45+win8+wpa81 Type: directory || NTFS:\Windows\WinSxS\amd64_microsoft-windows-wordpad_31bf3856ad364e35_10.0.22621.317_none_8ff7098935e85ce4 Type: directory
doc2vec,agglomerative,61,2667,False,5,path_token; source_file; sdks; directory; assemblies; dotnet; msbuild; kits; source_reg; hex_token; hkey_local_machine; reg_sz,FILE:2617; REG:49; PE:1,NTFS:\Program Files (x86)\Microsoft SDKs\NuGetPackages\system.collections.concurrent\4.0.10\ref\net46\_._ Type: file || NTFS:\Program Files (x86)\Microsoft SDKs\NuGetPackages\System.ComponentModel.Annotations\4.0.10\ref\dotnet\zh-hant\System.ComponentModel.Annotations.xml Type: f || NTFS:\Program Files (x86)\dotnet\packs\Microsoft.WindowsDesktop.App.Ref\8.0.0\ref\net8.0\System.Diagnostics.EventLog.dll Type: file
doc2vec,agglomerative,64,1426,False,5,num_token; update; source; source_file; parent; reason; usn_reason_file_create; usn_reason_data_extend; usn_reason_close; dll; usn_reason_data_overwrite; usn_reason_basic_info_change,FILE:1415; EVT:8; REG:3,System.Reflection.Context.nuspec File reference: 238596-1 Parent file reference: 222787-1 Update source: Update reason: USN_REASON_FILE_CREATE || Libraries File reference: 131815-4 Parent file reference: 1390-8 Update source: Update reason: USN_REASON_FILE_CREATE USN_REASON_CLOSE || windows.media.audio.idl File reference: 207682-1 Parent file reference: 207612-1 Update source: Update reason: USN_REASON_FILE_CREATE
doc2vec,agglomerative,42,1399,False,5,path_token; kits; source_file; hex_token; reg_sz; source_reg; hkey_local_machine; sdks; directory; bootstrapper; assemblies; num_token,FILE:1166; REG:233,[HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\D2442D3EA6B1126D55C1E93B080DEB83] 8355AD577312A18ED1DCB2182 || NTFS:\Program Files (x86)\Windows Kits\10\Include\10.0.22621.0\um\asysta.idl Type: file || NTFS:\Program Files (x86)\Reference Assemblies\Microsoft\Framework\.NETFramework\v4.5.1\System.Data.Linq.xml Type: file
doc2vec,agglomerative,25,1354,False,5,path_token; num_token; hex_token; reg_sz; source_reg; hkey_local_machine; sdks; source; update; event; source_evt; provider,REG:1217; EVT:69; FILE:68,[HKEY_LOCAL_MACHINE\Software\Classes\Interface\{7F254BEB-471F-5000-94CE-102CC333055F}\ProxyStubClsid32] (default): [REG_SZ] {95E15D0A-66E6-93D9-C53C-76E6219D334 || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\080403D1FBCCDEF5EB6789F84F48E520] B024657CC19C014408294FC94 || [HKEY_LOCAL_MACHINE\Software\Classes\Interface\{79EAC9D8-BAFA-11CE-8C82-00AA004BA90B}] (default): [REG_SZ] IWinInetHttpInfo
doc2vec,agglomerative,2,1039,False,5,num_token; path_token; source_reg; deriveddata; winbuild; componentfamilies; reg_binary; someunparsedversionsexist; reg_dword_le; ad; bf; cf,REG:1025; FILE:8; EVT:6,[\DerivedData\VersionedIndex\10.0.22621.2715 (WinBuild.160101.0800)\ComponentFamilies\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_ru-ru_12f2 || [\DerivedData\VersionedIndex\10.0.22621.2715 (WinBuild.160101.0800)\ComponentFamilies\amd64_microsoft.powershell.pester_31bf3856ad364e35_none_0315847550916839]  || [\DerivedData\VersionedIndex\10.0.22621.2715 (WinBuild.160101.0800)\ComponentFamilies\amd64_microsoft-hyper-v-o..oyment-languagepack_31bf3856ad364e35_en-us_a175
doc2vec,agglomerative,69,860,False,5,path_token; studio; visual; source_file; num_token; directory; reg_dword_le; source_reg; hkey_local_machine; explorer; tools; status,FILE:827; REG:33,NTFS:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\Editor\Microsoft.VisualStudio.Diff.pkgdef Type: file || NTFS:\Program Files\Microsoft Visual Studio\2022\Community\CoreCon\Binaries\Phone Tools\Debugger\CoreClr\arm\System.Private.Xml.Linq.dll Type: file || NTFS:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\es-ES\General_File.xaml Type: file
doc2vec,agglomerative,66,753,False,5,num_token; update; source; source_file; parent; reason; usn_reason_file_create; usn_reason_data_extend; usn_reason_basic_info_change; usn_reason_data_overwrite; usn_reason_close; usn_reason_security_change,FILE:752; EVT:1,3bed5.rbf File reference: 200105-2 Parent file reference: 221836-35 Update source: Update reason: USN_REASON_BASIC_INFO_CHANGE USN_REASON_CLOSE || System.ObjectModel.iltocpdb File reference: 234107-1 Parent file reference: 222543-1 Update source: Update reason: USN_REASON_DATA_OVERWRITE USN_REASON_DATA_EXT || state.packages.json.temp File reference: 244128-2 Parent file reference: 41833-2 Update source: Update reason: USN_REASON_DATA_EXTEND USN_REASON_FILE_CREATE
doc2vec,agglomerative,22,574,False,5,num_token; path_token; reg_binary; source_reg; deriveddata; winbuild; componentfamilies; ad; bf; reg_dword_le; someunparsedversionsexist; identity,REG:573; FILE:1,[\DerivedData\Components\amd64_microsoft-windows-a..ev-wow64-deployment_31bf3856ad364e35_10.0.22621.2506_none_5e093d4add647bbe] CF: [REG_DWORD_LE] 12 S256H: [RE || [\DerivedData\Components\amd64_microsoft-windows-security-spp-event_31bf3856ad364e35_10.0.22621.1_none_00c3e55f2fbf47ca] S256H: [REG_BINARY] (32 bytes) c!micros || [\DerivedData\Components\x86_microsoft-windows-i..otmailapi.resources_31bf3856ad364e35_10.0.22621.1_en-us_aab561c8842aba4b] S256H: [REG_BINARY] (32 bytes) c!mic
doc2vec,agglomerative,48,543,False,5,num_token; update; source; source_file; parent; reason; usn_reason_data_overwrite; usn_reason_data_extend; usn_reason_file_create; usn_reason_close; usn_reason_basic_info_change; dll,FILE:542; EVT:1,install.tmp File reference: 244967-53 Parent file reference: 244418-2 Update source: Update reason: USN_REASON_DATA_OVERWRITE USN_REASON_DATA_EXTEND USN_REASON_ || install.tmp File reference: 244967-12 Parent file reference: 244418-2 Update source: Update reason: USN_REASON_DATA_OVERWRITE USN_REASON_DATA_EXTEND USN_REASON_ || System.Xml.XPath.XDocument.dll File reference: 243913-1 Parent file reference: 221974-1 Update source: Update reason: USN_REASON_DATA_OVERWRITE USN_REASON_DATA_
doc2vec,agglomerative,7,534,False,5,num_token; dll; update; source_file; parent; source; reason; usn_reason_file_create; usn_reason_data_extend; reg_binary; reg_dword_le; path_token,FILE:322; PE:117; REG:95,[\DerivedData\VersionedIndex\10.0.22621.378 (WinBuild.160101.0800)\ComponentFamilies\amd64_microsoft-windows-cloudstore.resources_31bf3856ad364e35_en-us_cedfa1b || netstandard1.3 File reference: 237613-1 Parent file reference: 224593-1 Update source: Update reason: USN_REASON_FILE_CREATE || mbapreq.dll File reference: 203679-1 Parent file reference: 203666-1 Update source: Update reason: USN_REASON_FILE_DELETE USN_REASON_CLOSE
