sample_index,datetime,source,cluster_id,is_noise
0,2022-05-07T05:18:55.374309+00:00,FILE,11,False
1,2022-07-20T19:21:26.000000+00:00,FILE,37,False
2,2023-11-16T01:39:21.417222+00:00,FILE,11,False
3,2023-11-16T01:45:57.551403+00:00,FILE,11,False
4,2023-11-14T20:09:11.674964+00:00,FILE,11,False
5,2022-05-07T05:28:01.979293+00:00,REG,41,False
6,2023-11-15T18:56:35.717799+00:00,FILE,51,False
7,2023-12-26T00:35:56.957074+00:00,WEBHIST,93,False
8,2022-05-06T15:26:00.000000+00:00,FILE,11,False
9,2023-11-15T18:57:16.112971+00:00,FILE,13,False
10,2023-11-15T18:50:24.903178+00:00,REG,81,False
11,2023-11-15T18:57:20.124827+00:00,FILE,51,False
12,2023-11-15T18:42:38.188245+00:00,FILE,46,False
13,2023-11-15T19:00:25.208973+00:00,FILE,59,False
14,2022-09-25T02:42:08.771477+00:00,REG,22,False
15,2023-09-14T01:23:44.000000+00:00,FILE,0,False
16,2023-11-15T18:40:48.559865+00:00,FILE,80,False
17,2023-11-16T01:36:10.285617+00:00,FILE,11,False
18,2015-07-23T06:07:16.000000+00:00,FILE,1,False
19,2023-11-15T18:36:18.276713+00:00,FILE,80,False
20,2022-05-07T05:28:00.416721+00:00,REG,16,False
21,2022-09-25T02:35:21.304784+00:00,FILE,3,False
22,2023-11-16T01:35:03.821478+00:00,FILE,11,False
23,2023-11-15T18:47:58.353740+00:00,FILE,1,False
24,2023-10-31T22:59:02.000000+00:00,FILE,21,False
25,2022-09-25T02:32:40.948832+00:00,REG,19,False
26,2023-11-15T18:46:16.185781+00:00,FILE,5,False
27,2023-11-15T18:57:11.778587+00:00,FILE,51,False
28,2023-11-15T18:50:48.922869+00:00,FILE,97,False
29,2022-05-07T07:30:29.563957+00:00,REG,2,False
30,2023-11-15T18:33:06.599450+00:00,FILE,80,False
31,2023-11-15T18:55:30.154043+00:00,REG,35,False
32,2022-05-07T05:42:08.873251+00:00,FILE,3,False
33,2022-05-07T05:28:03.526256+00:00,REG,14,False
34,2023-11-16T01:39:55.170978+00:00,FILE,3,False
35,2023-11-14T20:28:30.541322+00:00,REG,91,False
36,2023-11-15T18:57:06.293500+00:00,FILE,84,False
37,2023-11-15T18:51:49.785455+00:00,FILE,31,False
38,2023-11-15T17:55:30.329884+00:00,REG,19,False
39,2023-11-15T19:16:52.988560+00:00,FILE,18,False
40,2022-05-07T05:19:58.183433+00:00,FILE,11,False
41,2023-12-26T15:10:04.159727+00:00,FILE,11,False
42,2023-11-16T01:39:11.916925+00:00,FILE,11,False
43,2023-11-14T20:38:15.861594+00:00,REG,89,False
44,2023-11-14T20:38:16.647296+00:00,REG,91,False
45,2022-05-07T05:19:59.245975+00:00,FILE,3,False
46,2022-05-07T05:28:03.948178+00:00,REG,58,False
47,2023-12-26T00:35:03.635922+00:00,FILE,9,False
48,2023-10-19T04:09:11.533583+00:00,REG,94,False
49,2023-11-14T20:26:52.610728+00:00,FILE,11,False
50,2022-05-07T05:19:20.360294+00:00,FILE,11,False
51,2022-09-25T02:31:59.102319+00:00,FILE,11,False
52,2023-12-26T00:43:44.727651+00:00,FILE,99,False
53,2023-12-26T00:14:05.494480+00:00,FILE,18,False
54,2023-10-02T16:40:53.000000+00:00,FILE,11,False
55,2023-11-14T20:18:39.432876+00:00,FILE,3,False
56,2023-11-15T17:55:35.521705+00:00,REG,29,False
57,2022-09-25T02:34:19.380385+00:00,FILE,3,False
58,2023-11-15T17:48:58.135465+00:00,EVT,62,False
59,2022-05-07T05:19:25.652996+00:00,FILE,11,False
60,2022-05-07T05:25:25.250190+00:00,REG,95,False
61,2023-11-15T18:44:40.492601+00:00,FILE,8,False
62,2023-11-14T20:04:33.319369+00:00,FILE,11,False
63,2022-05-07T05:23:21.961317+00:00,FILE,3,False
64,2023-11-14T20:27:49.155971+00:00,FILE,11,False
65,2023-11-16T01:42:23.190268+00:00,FILE,77,False
66,2022-05-07T05:42:02.836958+00:00,FILE,3,False
67,2023-11-14T20:35:02.720581+00:00,FILE,11,False
68,2022-05-07T05:20:45.941932+00:00,FILE,11,False
69,2022-05-07T07:29:47.562189+00:00,FILE,11,False
70,2023-12-26T00:14:07.531527+00:00,FILE,18,False
71,2022-05-07T05:28:00.932367+00:00,REG,88,False
72,2023-11-15T18:44:21.295641+00:00,FILE,9,False
73,2023-11-15T18:55:33.250851+00:00,REG,35,False
74,2023-11-15T18:55:53.513993+00:00,FILE,76,False
75,2022-05-07T05:20:47.145121+00:00,FILE,11,False
76,2023-11-14T20:38:16.314720+00:00,REG,91,False
77,2023-12-26T15:10:19.238353+00:00,EVT,62,False
78,2022-05-07T05:23:53.994897+00:00,REG,17,False
79,2023-12-26T00:47:12.757704+00:00,FILE,11,False
80,2022-09-25T02:31:56.930495+00:00,FILE,11,False
81,2023-11-15T18:57:13.315998+00:00,FILE,44,False
82,2023-11-15T18:21:14.125195+00:00,FILE,9,False
83,2023-11-15T18:52:03.601883+00:00,FILE,74,False
84,2022-05-07T07:39:22.432792+00:00,REG,43,False
85,2023-11-16T01:37:18.953033+00:00,FILE,11,False
86,2023-11-15T18:51:00.368382+00:00,FILE,61,False
87,2023-11-16T01:40:28.618216+00:00,REG,28,False
88,2023-11-16T01:38:31.536460+00:00,FILE,11,False
89,2022-06-17T00:38:04.000000+00:00,FILE,1,False
90,2022-05-07T07:30:24.485351+00:00,FILE,11,False
91,2023-11-15T18:48:02.440996+00:00,FILE,66,False
92,2023-11-14T20:29:37.342778+00:00,FILE,11,False
93,2023-11-15T18:56:21.205732+00:00,FILE,97,False
94,2023-11-15T19:17:33.923573+00:00,FILE,40,False
95,2023-11-15T18:39:51.551537+00:00,FILE,80,False
96,2022-09-25T02:32:42.605077+00:00,REG,19,False
97,2022-05-07T05:20:16.625540+00:00,FILE,11,False
98,2022-09-25T02:42:15.795913+00:00,REG,46,False
99,2023-11-16T01:38:22.221750+00:00,FILE,11,False
100,2023-11-15T17:49:39.537637+00:00,EVT,48,False
101,2023-11-15T18:48:09.172285+00:00,FILE,44,False
102,2023-11-15T18:56:46.480888+00:00,FILE,1,False
103,2022-09-25T02:34:24.772301+00:00,FILE,3,False
104,2023-11-16T01:39:41.533398+00:00,FILE,3,False
105,2022-05-07T05:17:39.304434+00:00,FILE,11,False
106,2022-05-07T07:30:10.553885+00:00,FILE,11,False
107,2023-11-15T18:59:01.261518+00:00,FILE,5,False
108,2023-11-15T18:40:54.614119+00:00,FILE,80,False
109,2023-11-16T01:45:43.292700+00:00,FILE,9,False
110,2022-05-07T05:28:02.369930+00:00,REG,55,False
111,2022-05-07T05:19:18.141381+00:00,FILE,11,False
112,2023-12-26T15:10:26.496888+00:00,REG,28,False
113,2022-05-07T05:28:01.838667+00:00,REG,86,False
114,2023-11-15T18:43:30.133247+00:00,FILE,9,False
115,2023-11-15T18:56:42.835101+00:00,FILE,44,False
116,2005-02-23T02:24:39.000000+00:00,PE,73,False
117,2023-12-26T00:15:34.408650+00:00,FILE,77,False
118,2023-12-26T00:25:15.395819+00:00,FILE,66,False
119,2023-11-16T01:39:32.623923+00:00,FILE,11,False
120,2023-11-15T18:46:09.861474+00:00,FILE,51,False
121,2023-11-15T19:16:14.549843+00:00,EVT,4,False
122,2019-03-12T23:01:06.000000+00:00,FILE,1,False
123,2022-05-07T05:28:04.166940+00:00,REG,38,False
124,2023-11-15T18:56:30.603278+00:00,FILE,51,False
125,2023-11-15T18:40:47.665668+00:00,FILE,80,False
126,2023-11-15T18:55:56.667683+00:00,FILE,1,False
127,2022-09-25T02:33:00.324888+00:00,FILE,11,False
128,2023-11-15T18:50:58.408298+00:00,FILE,0,False
129,2022-05-07T05:19:42.991689+00:00,FILE,11,False
130,2023-11-16T01:39:19.341351+00:00,FILE,11,False
131,2022-02-12T06:55:12.000000+00:00,FILE,32,False
132,2016-06-12T07:13:22.000000+00:00,FILE,1,False
133,2023-12-26T00:18:58.809691+00:00,EVT,48,False
134,2023-11-16T01:35:48.539527+00:00,FILE,11,False
135,2023-09-30T08:43:40.000000+00:00,FILE,0,False
136,2023-11-16T01:36:54.876955+00:00,FILE,11,False
137,2022-05-07T05:19:01.577896+00:00,FILE,11,False
138,2023-11-15T18:51:02.704078+00:00,FILE,0,False
139,2023-11-15T18:50:27.880456+00:00,FILE,0,False
140,2023-11-14T20:13:23.444474+00:00,REG,25,False
141,2023-11-14T20:13:44.535867+00:00,FILE,11,False
142,2023-11-15T18:43:18.486697+00:00,FILE,21,False
143,2022-05-07T05:18:37.810668+00:00,FILE,11,False
144,2023-11-15T18:50:48.542752+00:00,FILE,44,False
145,2022-05-07T07:44:46.950149+00:00,FILE,9,False
146,2022-09-25T02:42:07.717880+00:00,REG,22,False
147,2023-11-15T18:50:37.483382+00:00,REG,81,False
148,2023-11-15T18:56:35.561499+00:00,FILE,76,False
149,2023-11-15T18:56:11.561698+00:00,FILE,1,False
150,2023-11-15T17:55:31.961084+00:00,REG,19,False
151,2023-11-16T01:36:13.546451+00:00,FILE,11,False
152,2023-12-26T00:16:32.629469+00:00,FILE,64,False
153,2023-10-13T02:23:44.000000+00:00,FILE,77,False
154,2022-07-20T02:56:48.301017+00:00,REG,34,False
155,2023-11-14T20:15:08.967989+00:00,FILE,11,False
156,2023-11-14T20:06:29.107420+00:00,FILE,11,False
157,2022-05-07T05:20:46.832614+00:00,FILE,11,False
158,2023-11-15T17:55:35.409720+00:00,REG,19,False
159,2023-10-19T04:09:11.533583+00:00,REG,69,False
160,2022-11-18T18:54:45.000000+00:00,PE,73,False
161,2023-11-16T01:35:05.635293+00:00,FILE,11,False
162,2022-05-07T05:23:00.303116+00:00,REG,43,False
163,2023-11-15T18:21:24.562056+00:00,FILE,9,False
164,2023-10-19T04:09:11.564835+00:00,REG,46,False
165,2022-05-07T05:27:59.791687+00:00,REG,98,False
166,2023-11-16T01:36:22.826645+00:00,FILE,11,False
167,2023-12-26T00:37:26.671336+00:00,FILE,11,False
168,2023-11-16T01:36:09.465354+00:00,FILE,11,False
169,2023-11-16T01:40:09.483174+00:00,FILE,3,False
170,2023-11-15T18:50:42.335884+00:00,FILE,13,False
171,2023-11-16T01:37:24.595176+00:00,FILE,11,False
172,2022-05-07T05:18:37.388770+00:00,REG,91,False
173,2022-05-07T05:25:14.796570+00:00,REG,46,False
