representation,clustering_method,visualization_method,stage,elapsed_s,output_path,status,error
tfidf,all,pca,reduction,0.007693,reports\week3\scatter\pca,ok,
tfidf,all,umap,reduction,20.67814,reports\week3\scatter\umap,ok,
tfidf,all,tsne,reduction,1.514287,reports\week3\scatter\tsne,ok,
tfidf,kmeans,pca,scatter_render,0.166848,reports\week3\scatter\pca\tfidf_kmeans_pca.png,ok,
tfidf,kmeans,umap,scatter_render,0.144061,reports\week3\scatter\umap\tfidf_kmeans_umap.png,ok,
tfidf,kmeans,tsne,scatter_render,0.177065,reports\week3\scatter\tsne\tfidf_kmeans_tsne.png,ok,
tfidf,dbscan,pca,scatter_render,0.14695,reports\week3\scatter\pca\tfidf_dbscan_pca.png,ok,
tfidf,dbscan,umap,scatter_render,0.139712,reports\week3\scatter\umap\tfidf_dbscan_umap.png,ok,
tfidf,dbscan,tsne,scatter_render,0.143303,reports\week3\scatter\tsne\tfidf_dbscan_tsne.png,ok,
tfidf,hdbscan,pca,scatter_render,0.146483,reports\week3\scatter\pca\tfidf_hdbscan_pca.png,ok,
tfidf,hdbscan,umap,scatter_render,0.139525,reports\week3\scatter\umap\tfidf_hdbscan_umap.png,ok,
tfidf,hdbscan,tsne,scatter_render,0.144545,reports\week3\scatter\tsne\tfidf_hdbscan_tsne.png,ok,
tfidf,agglomerative,pca,scatter_render,0.143443,reports\week3\scatter\pca\tfidf_agglomerative_pca.png,ok,
tfidf,agglomerative,umap,scatter_render,0.133776,reports\week3\scatter\umap\tfidf_agglomerative_umap.png,ok,
tfidf,agglomerative,tsne,scatter_render,0.138335,reports\week3\scatter\tsne\tfidf_agglomerative_tsne.png,ok,
tfidf,gmm,pca,scatter_render,0.14236,reports\week3\scatter\pca\tfidf_gmm_pca.png,ok,
tfidf,gmm,umap,scatter_render,0.137613,reports\week3\scatter\umap\tfidf_gmm_umap.png,ok,
tfidf,gmm,tsne,scatter_render,0.146657,reports\week3\scatter\tsne\tfidf_gmm_tsne.png,ok,
word2vec,all,pca,reduction,0.001065,reports\week3\scatter\pca,ok,
