representation,clustering_method,parameter_type,parameter_value,trial_count,seed_count,silhouette_mean,silhouette_std,davies_bouldin_mean,n_clusters_mean,noise_ratio_mean,clustering_time_s_mean
tfidf,agglomerative,k,10,5,5,0.13221976459026333,0.02238353303279443,2.4121004762909912,10.0,0.0,78.8638
tfidf,agglomerative,k,20,5,5,0.3276921272277832,0.019067937700713945,1.7841794373729414,20.0,0.0,74.31800000000001
tfidf,agglomerative,k,50,5,5,0.6732762813568115,0.00840195953830754,0.976633435854027,50.0,0.0,73.297
tfidf,kmeans,k,10,5,5,0.08563786782324312,0.0433717472816143,2.030153012357466,10.0,0.0,2.0232
tfidf,kmeans,k,20,5,5,0.23499905467033383,0.03143561001445388,1.4853253999484095,20.0,0.0,3.843
tfidf,kmeans,k,50,5,5,0.6783951044082641,0.00834207066109351,0.8983681855482522,50.0,0.0,9.9088
tfidf,dbscan,density_params,"eps=0.4258, min_samples=5",1,1,0.9220589995384216,,0.1917572798489874,673.0,0.0966,6.53
tfidf,dbscan,density_params,"eps=0.5395, min_samples=5",1,1,0.9261382818222046,,0.2115345316506769,637.0,0.08936,11.508
tfidf,dbscan,density_params,"eps=0.5723, min_samples=5",1,1,0.9284574389457704,,0.2088750339048705,629.0,0.08894,16.649
tfidf,dbscan,density_params,"eps=0.6607, min_samples=5",1,1,0.924285054206848,,0.2172887090606224,636.0,0.07846,6.862
tfidf,dbscan,density_params,"eps=0.7289, min_samples=5",1,1,0.9195480346679688,,0.2299673340101449,620.0,0.07568,14.481
tfidf,dbscan,density_params,"eps=0.9592, min_samples=10",1,1,0.9237567186355592,,0.232494313416909,315.0,0.09898,8.453
tfidf,dbscan,density_params,"eps=1.11, min_samples=10",1,1,0.9164826273918152,,0.2510687676930007,321.0,0.09054,16.799
tfidf,dbscan,density_params,"eps=1.145, min_samples=10",1,1,0.908784568309784,,0.2532258079464264,322.0,0.09014,16.728
tfidf,dbscan,density_params,"eps=1.362, min_samples=10",1,1,0.910674214363098,,0.2373835958110867,299.0,0.08138,10.33
tfidf,dbscan,density_params,"eps=1.44, min_samples=10",1,1,0.9087732434272766,,0.2585632042156208,305.0,0.07824,14.104
tfidf,dbscan,density_params,"eps=1.539, min_samples=5",1,1,0.8841471672058105,,0.2967608735486579,493.0,0.04682,8.597
tfidf,dbscan,density_params,"eps=1.694, min_samples=5",1,1,0.8682541251182556,,0.3312382672905396,475.0,0.04312,17.332
tfidf,dbscan,density_params,"eps=1.763, min_samples=5",1,1,0.8746324181556702,,0.3211602420922827,458.0,0.04364,18.972
tfidf,dbscan,density_params,"eps=1.943, min_samples=5",1,1,0.8767380714416504,,0.3633812194678302,447.0,0.0382,7.981
