representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,silhouette_all,calinski_harabasz_all,davies_bouldin_all,inertia,bic,aic,stage_dir,parameter_value,parameter_type,parameter_note
tfidf,agglomerative,101,"{""linkage"": ""ward"", ""n_clusters"": 10}",82.678,,10,0,0.0,0.1528014093637466,1468.0950407007751,2.481955764492377,,,,,,,primary_k_sensitivity_seed101,10,k,Explicit k/n_components sensitivity value.
tfidf,agglomerative,101,"{""linkage"": ""ward"", ""n_clusters"": 20}",60.702,,20,0,0.0,0.3035123348236084,1682.8157861077293,1.8070999667446928,,,,,,,primary_k_sensitivity_seed101,20,k,Explicit k/n_components sensitivity value.
tfidf,agglomerative,101,"{""linkage"": ""ward"", ""n_clusters"": 50}",60.196,,50,0,0.0,0.6720614433288574,3784.840908596308,0.9533575135053686,,,,,,,primary_k_sensitivity_seed101,50,k,Explicit k/n_components sensitivity value.
tfidf,kmeans,101,"{""n_clusters"": 10}",3.389,,10,0,0.0,0.135318323969841,1333.116710363929,2.35797603176228,,,,2016110.125,,,primary_k_sensitivity_seed101,10,k,Explicit k/n_components sensitivity value.
tfidf,kmeans,101,"{""n_clusters"": 20}",6.526,,20,0,0.0,0.2004419863224029,1599.3986552156316,1.6006319685238828,,,,1554701.125,,,primary_k_sensitivity_seed101,20,k,Explicit k/n_components sensitivity value.
tfidf,kmeans,101,"{""n_clusters"": 50}",16.978,,50,0,0.0,0.67885822057724,4027.6360462865896,0.8866353846592437,,,,504942.53125,,,primary_k_sensitivity_seed101,50,k,Explicit k/n_components sensitivity value.
tfidf,dbscan,101,"{""eps"": 0.572328, ""metric"": ""euclidean"", ""min_samples"": 5}",16.649,,629,4447,0.08894,0.9284574389457704,96684.63838455932,0.2088750339048705,0.7839799523353577,418.2473152838765,1.058155524742141,,,,primary_k_sensitivity_seed101,"eps=0.5723, min_samples=5",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,dbscan,101,"{""eps"": 1.145477, ""metric"": ""euclidean"", ""min_samples"": 10}",16.728,,322,4507,0.09014,0.908784568309784,35633.2918375206,0.2532258079464264,0.7774193286895752,772.1021489269747,1.0638186022260208,,,,primary_k_sensitivity_seed101,"eps=1.145, min_samples=10",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,dbscan,101,"{""eps"": 1.694066, ""metric"": ""euclidean"", ""min_samples"": 5}",17.332,,475,2156,0.04312,0.8682541251182556,11018.671290567836,0.3312382672905396,0.8122120499610901,1050.7913673854694,1.102122790504074,,,,primary_k_sensitivity_seed101,"eps=1.694, min_samples=5",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,dbscan,101,"{""eps"": 2.661232, ""metric"": ""euclidean"", ""min_samples"": 10}",24.405,,231,2048,0.04096,0.7102352380752563,2278.2163591293224,0.6655146942340701,0.6564725637435913,1142.4985782347303,1.1186281578805315,,,,primary_k_sensitivity_seed101,"eps=2.661, min_samples=10",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
