dataset,experiment,representation,clustering_method,seed_count,sample_size,silhouette_mean,calinski_harabasz_mean,davies_bouldin_mean,n_clusters_mean,noise_ratio_mean,embedding_time_s_mean,clustering_time_s_mean,peak_memory_mb_mean,silhouette_std,calinski_harabasz_std,davies_bouldin_std,n_clusters_std,noise_ratio_std,embedding_time_s_std,clustering_time_s_std,peak_memory_mb_std
scenario-1,k-sensitivity,tfidf,agglomerative,5,50000,0.6732762813568115,3859.371255743169,0.976633435854027,50.0,0.0,4.4926,73.297,110.2492,0.008401959538307522,120.52565050647229,0.08268797743976186,0.0,0.0,1.1453238843226838,12.497007701846073,0.09450767164627596
scenario-1,k-sensitivity,tfidf,kmeans,5,50000,0.6783951044082641,4075.260863208064,0.8983681855482522,50.0,0.0,4.4926,9.908800000000001,110.2492,0.008342070661093525,104.23258802142267,0.03450548141737946,0.0,0.0,1.1453238843226838,7.253455638521546,0.09450767164627596
scenario-1,k-sensitivity,tfidf,dbscan,5,50000,0.9244371056556702,79365.51000612557,0.22003198440864474,567.4,0.086284,4.4926,11.5906,110.2492,0.0032956843513935207,26489.42183374982,0.010703161023348244,141.25968993311574,0.009372357227506857,1.1453238843226838,4.066719722331501,0.09450767164627596
scenario-1,k-sensitivity,tfidf,hdbscan,5,50000,0.9283946514129638,15756.32359354114,0.3950300819060596,366.8,0.10402800000000001,4.4926,65.2566,110.2492,0.0026133626538336723,1574.885701958527,0.006742833467342645,5.449770637375483,0.004500013333313585,1.1453238843226838,19.433515412811964,0.09450767164627596
scenario-1,k-sensitivity,tfidf,gmm,5,50000,0.618625283241272,2237.0989337795118,1.6732137477732123,50.0,0.0,4.4926,7.715999999999999,110.2492,0.004536388132669946,26.503450245568835,0.08787206744470905,0.0,0.0,1.1453238843226838,3.458233436308197,0.09450767164627596
scenario-1,k-sensitivity,word2vec,agglomerative,5,50000,0.528361189365387,1280.4637308246697,1.705244678035891,50.0,0.0,14.103399999999999,86.51259999999999,100.1608,0.009998960027128962,21.571425223415176,0.044446866247716675,0.0,0.0,4.10791221912056,17.040058254008397,4.0402937021954255
scenario-1,k-sensitivity,word2vec,kmeans,5,50000,0.5224774599075317,1388.4752067734032,1.5577994548730483,50.0,0.0,14.103399999999999,9.8864,100.1608,0.016830398413006736,20.487891832851552,0.07250801984684979,0.0,0.0,4.10791221912056,5.966964747675321,4.0402937021954255
scenario-1,k-sensitivity,word2vec,dbscan,5,50000,0.8648333787918091,6437.963175808189,0.46867965220492175,635.8,0.134652,14.103399999999999,12.999,100.1608,0.07963941955026112,3792.1866778753692,0.1240426037661517,72.90884719977406,0.02482009508442706,4.10791221912056,4.602898923504621,4.0402937021954255
scenario-1,k-sensitivity,word2vec,hdbscan,5,50000,0.9155588030815125,5177.310907525714,2.699086123661292,129.0,0.23578800000000003,14.103399999999999,87.8954,100.1608,0.004460230465974914,441.6271901591051,0.4383515473285269,2.1213203435596455,0.00353577714229842,4.10791221912056,26.800051554054896,4.0402937021954255
scenario-1,k-sensitivity,word2vec,gmm,5,50000,0.5367139339447021,1041.370091087595,2.503806261923898,50.0,0.0,14.103399999999999,7.8688,100.1608,0.006928284104149916,19.674632822195548,0.2227538310434399,0.0,0.0,4.10791221912056,3.3117020850312002,4.0402937021954255
