representation,sample_size,seed,embedding_time_s,peak_memory_mb,device,embedding_cache_key,embedding_cache_path,embedding_cache_hit,embedding_load_time_s,embedding_dimensions,requested_pca_components,pca_applied,effective_dimensions,pca_explained_variance_ratio,clustering_method,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all,tfidf_features,tfidf_max_features,tfidf_min_df,tfidf_max_df,tfidf_svd_applied,tfidf_svd_components,dataset,experiment
tfidf,50000,42,3.091,110.142,cpu,tfidf_21e201679651b82c,reports\week2\cache\tfidf_21e201679651b82c.npz,False,,50,50,False,50,,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",63.466,,100,0,0.0,0.7913590669631958,5061.968047728919,0.8940515065466706,,,,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,101,0.052,19.123,cpu,tfidf_552d73562a74a5ad,reports\week4_pilot\primary_optimal_seed101\cache\tfidf_552d73562a74a5ad.npz,True,0.05,50,50,False,50,,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",79.455,,100,0,0.0,0.7868002653121948,4941.704211023699,0.8979101284626232,,,,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,123,3.079,110.29,cpu,tfidf_845ed867502f7262,reports\week4_pilot\primary_optimal_seed123\cache\tfidf_845ed867502f7262.npz,False,,50,50,False,50,,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",62.591,,100,0,0.0,0.7794457077980042,4790.413264528404,0.8748950993540157,,,,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,456,2.968,110.323,cpu,tfidf_f072693cb3bb6302,reports\week4_pilot\primary_optimal_seed456\cache\tfidf_f072693cb3bb6302.npz,False,,50,50,False,50,,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",61.746,,100,0,0.0,0.7883864045143127,4875.276910443155,0.8997910835969469,,,,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,789,3.073,110.404,cpu,tfidf_11effbbb6d7c494d,reports\week4_pilot\primary_optimal_seed789\cache\tfidf_11effbbb6d7c494d.npz,False,,50,50,False,50,,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",64.785,,100,0,0.0,0.780345618724823,4874.160515711052,0.9809750021024216,,,,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,42,3.091,110.142,cpu,tfidf_21e201679651b82c,reports\week2\cache\tfidf_21e201679651b82c.npz,False,,50,50,False,50,,kmeans,"{""n_clusters"": 100}",4.447,,100,0,0.0,0.7897588014602661,5178.904548870089,0.8978845247462622,,,221733.8125,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,101,0.052,19.123,cpu,tfidf_552d73562a74a5ad,reports\week4_pilot\primary_optimal_seed101\cache\tfidf_552d73562a74a5ad.npz,True,0.05,50,50,False,50,,kmeans,"{""n_clusters"": 100}",8.249,,100,0,0.0,0.777998149394989,5032.124567115494,0.8978019768833408,,,227614.640625,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,123,3.079,110.29,cpu,tfidf_845ed867502f7262,reports\week4_pilot\primary_optimal_seed123\cache\tfidf_845ed867502f7262.npz,False,,50,50,False,50,,kmeans,"{""n_clusters"": 100}",4.382,,100,0,0.0,0.779547929763794,4920.410955044093,0.8303188999467764,,,232301.671875,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,456,2.968,110.323,cpu,tfidf_f072693cb3bb6302,reports\week4_pilot\primary_optimal_seed456\cache\tfidf_f072693cb3bb6302.npz,False,,50,50,False,50,,kmeans,"{""n_clusters"": 100}",4.432,,100,0,0.0,0.7843372225761414,5037.074053313527,0.8609771966991628,,,227407.859375,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,789,3.073,110.404,cpu,tfidf_11effbbb6d7c494d,reports\week4_pilot\primary_optimal_seed789\cache\tfidf_11effbbb6d7c494d.npz,False,,50,50,False,50,,kmeans,"{""n_clusters"": 100}",4.625,,100,0,0.0,0.7819985151290894,5080.380175287465,0.858268362037739,,,225645.78125,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
