representation,clustering_method,cluster_id,size,top_terms,output_path,status
tfidf,hdbscan,0,26,path_token; source_reg; hkey_local_machine; hex_token; reg_sz; assemblies,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_0.png,ok
tfidf,hdbscan,1,135,path_token; source_file; assemblies; directory; pc,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_1.png,ok
tfidf,hdbscan,2,34,path_token; source_reg; hkey_local_machine; hex_token; reg_sz; dotnet,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_2.png,ok
tfidf,hdbscan,3,127,path_token; source_file; dotnet; directory,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_3.png,ok
tfidf,hdbscan,4,33,path_token; source_file; sdks; bootstrapper; directory,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_4.png,ok
tfidf,hdbscan,5,53,path_token; source_file; sdks; bootstrapper,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_5.png,ok
tfidf,hdbscan,6,27,path_token; source_reg; hkey_local_machine; hex_token; reg_sz; msbuild,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_6.png,ok
tfidf,hdbscan,7,103,path_token; source_file; msbuild; directory,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_7.png,ok
tfidf,hdbscan,8,37,source_reg; smisettings; path_token,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_8.png,ok
tfidf,hdbscan,9,22,path_token; reg_dword_le; num_token; source_reg; power; onlastremove; path; reg_sz; hkey_local_machine; publishwnfonconfigure; nt,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_9.png,ok
tfidf,hdbscan,10,27,source_reg; policies; path_token; applypasses; reg_dword_le; num_token,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_10.png,ok
tfidf,hdbscan,11,63,exe; source_pe; pe; executable; import; hex_token; export; dll; git; msedgewebview; aspnet_wp; wrapper; printbrm; wudfcompanionhost; http; fetch; smartscreen; netcorecheck,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_11.png,ok
tfidf,hdbscan,12,24,path_token; source_reg; policies; action; reg_dword_le; num_token; path; reg_sz; vendor,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_12.png,ok
tfidf,hdbscan,13,128,path_token; explorer; source_file; visual; studio; directory; source_reg; hkey_local_machine; reg_sz; extoff; test,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_13.png,ok
tfidf,hdbscan,14,18,path_token; explorer; source_reg; hkey_local_machine; rights; source_file; directory; lnk; launch; switcher; protection; internet,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_14.png,ok
tfidf,hdbscan,15,33,path_token; compatibility; source_reg; hkey_local_machine; explorer; reg_dword_le; num_token; showleftaddresstoolbar; warnonopen,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_15.png,ok
tfidf,hdbscan,16,16,source_reg; connectivityprofiles; path_token,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_16.png,ok
tfidf,hdbscan,17,63,source_reg; path_token; universalappinstall; registry; devicemanagement; cellular; unifiedwritefilter; personalization; localstate; storaged; inmodernstandby; classes; browser; accounts; universalappuninstall; certificates; start; workplace; countryandregion; registration,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_17.png,ok
tfidf,hdbscan,18,17,source_reg; path_token; connections; cellcore,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_18.png,ok
tfidf,hdbscan,19,33,source_reg; driverdatabase; path_token; configuration; reg_sz; modem; ol_dss; olm_dss; _dss; olp_dss; modemv; ex; olp_japan; modem_ven_isa; ot_dss; op_dss; modempcmin; nt; od_dss; i_dss,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_19.png,ok
tfidf,hdbscan,20,18,reg_sz; num_token; source_reg; policies; path_token; minimum; maximum,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_20.png,ok
tfidf,hdbscan,21,40,source_reg; policies; path_token; reg_sz; reg_dword_le; num_token; activehoursstart; allowusertoresetphone; schedulescanday; useraccountcontrol_behavioroftheelevationpromptforstandardusers; noupdatenotificationsduringactivehours; dosethourstolimitbackgrounddownloadbandwidth; setpolicydrivenupdatesourceforotherupdates; allownonmicrosoftsignedupdate; provisionfavorites; eap; setpolicydrivenupdatesourceforqualityupdates; hidecellularconnectionmode; allowarchivescanning; nopinningtotaskbar,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_21.png,ok
tfidf,hdbscan,22,50,reg_sz; source_reg; policies; path_token; display; displaydescription; setting; displayname; enable; yes; policy; updates; disable; lets; history; feature; configure; cookies; allows; decide,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_22.png,ok
tfidf,hdbscan,23,78,source_reg; policies; path_token,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_23.png,ok
tfidf,hdbscan,24,20,path_token; source_reg; hkey_current_user; reg_dword_le; num_token; capabilities; perpackageindexeddbenabled; reg_sz; settings; defaultapplied; connection; wizard; completed; appusermodelid; lockapp_cw; txyewy; windowsdefaultlockscreen; persistent; waseveractivated; servicename,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_24.png,ok
tfidf,hdbscan,25,86,path_token; source_reg; hkey_current_user; settings; reg_none; num_token; nt; reg_qword; value; reg_sz; appxvsqkg; th; rv; rkh; hjp; hxryydd; children; reg_multi_sz; hex_token; appx,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_25.png,ok
tfidf,hdbscan,26,15,reg_sz; source_reg; hkey_current_user; path_token; class; ms; progid; syncenginestorageproviderhandlerproxy; url; wcrv; pm; kl; appxmgw; pxxs; rbgfp; petmdyb; fx; rnd; filecoauth; kfmstatusfactory,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_26.png,ok
tfidf,hdbscan,27,33,source_reg; power; path_token; applypasses; reg_dword_le; num_token,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_27.png,ok
tfidf,hdbscan,28,16,source_reg; power; path_token,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_28.png,ok
tfidf,hdbscan,29,32,reg_dword_le; num_token; reg_sz; power; path_token; source_reg; atomic; atomicroot; dcvalue; policymetadatarequired; acvalue; smallsequentialwritepowermw; key; id; list; idletimecheck; softparklatency; perfboostpolicy; screenonmaxpercentage; cpperfstate,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_29.png,ok
tfidf,hdbscan,30,29,power; source_reg; path_token; private; reg_dword_le; num_token; displaydescription; reg_sz; specify; parameters; model; percentage; specifies; needed; wifi; cooling; policy; busy; threshold; met,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_30.png,ok
tfidf,hdbscan,31,38,path_token; source_file; sql; server; directory; sdk; terms,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_31.png,ok
tfidf,hdbscan,32,38,num_token; source_reg; wcm; version; language; neutral; processorarchitecture; publickeytoken; hex_token; versionscope; nonsxs; scope; allusers; path_token; amd; wow; setup; shell; deployment; service,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_32.png,ok
